time(1),x(2),y(3),h(4),lon(5),lat(6),v(7),vz(8),theta(9),phi(10),psi(11),alf(12),beta(13),p(14),q(15),r(16),nx(17),ny(18),nz(19),ele(20),ail(21),rud(22),throttle(23)
0.02,5.25725,0.0,3000.0,56.0,41.360047336653025,262.871,0.0,0.365995,0.0,0.0,0.366048,0.000109429,-0.471532,0.0225144,-0.0212834,0.0521906,0.00256123,0.998454,-1.25396,0.3,0.0,21303.8
0.04,10.5147,1.00404e-05,3000.0,56.00000000011999,41.360094675106865,262.88,-0.000241642,0.366445,-0.00943335,-0.000425676,0.366518,0.000590441,-0.901927,0.0443043,-0.0423696,0.0521874,0.00270582,0.999229,-1.25396,0.3,0.0,21303.8
0.06,15.7723,3.0695e-05,3000.0,56.00000000036683,41.36014201491132,262.889,-0.000331016,0.367331,-0.0274773,-0.00127323,0.367381,0.00143376,-1.29515,0.0653863,-0.0631202,0.0521976,0.00277102,1.00023,-1.25396,0.3,0.0,21303.8
0.08,21.0301,6.15905e-05,3000.0,56.00000000073606,41.360189356516585,262.898,-0.000223979,0.368638,-0.0533883,-0.00253629,0.368615,0.00262746,-1.65479,0.0857768,-0.0834031,0.0522204,0.00276037,1.00143,-1.25396,0.3,0.0,21303.8
0.1,26.288,0.000101472,3000.0,56.00000000121268,41.36023669902226,262.907,0.000120871,0.370352,-0.0864948,-0.00420598,0.370197,0.00415708,-1.98413,0.105492,-0.103093,0.0522552,0.00267773,1.00283,-1.25396,0.3,0.0,21303.8
0.12,31.5462,0.000148263,3000.0,56.00000000177187,41.360284044229154,262.925,0.000742305,0.372459,-0.126191,-0.00627107,0.372262,0.00600571,-2.28613,0.147068,-0.122072,0.0980893,0.00252718,1.00051,-1.30396,0.3,0.0,25525.8
0.14,36.8047,0.000199145,3000.0,56.00000000237996,41.36033139213727,262.943,0.000968909,0.375395,-0.171929,-0.00871904,0.375049,0.00815439,-2.56352,0.18727,-0.140219,0.0981454,0.00231317,1.0031,-1.30396,0.3,0.0,25525.8
0.16,42.0636,0.0002506,3000.0,56.000000002994895,41.36037874364701,262.961,0.00170598,0.379132,-0.223218,-0.0115347,0.378516,0.0105815,-2.81873,0.226128,-0.157427,0.0982239,0.00203998,1.00607,-1.30396,0.3,0.0,25525.8
0.18,47.3228,0.000298446,3000.0,56.0000000035667,41.360426097857975,262.979,0.00302829,0.383642,-0.279614,-0.0147009,0.382621,0.0132637,-3.05397,0.263668,-0.173604,0.0983233,0.00171247,1.00939,-1.30396,0.3,0.0,25525.8
0.2,52.5824,0.000337888,3000.0,56.000000004038064,41.360473455670565,262.997,0.00500572,0.388899,-0.340717,-0.0181988,0.387323,0.0161756,-3.27123,0.299917,-0.188666,0.0984423,0.00133569,1.01305,-1.30396,0.3,0.0,25525.8
0.22,57.8423,0.000363552,3000.0,56.00000000434477,41.36052081618438,263.024,0.00770342,0.394874,-0.406167,-0.0220078,0.392739,0.0192901,-3.47229,0.357436,-0.20254,0.144368,0.000914852,1.01312,-1.35396,0.3,0.0,29747.8
0.24,63.1028,0.000369578,3000.0,56.00000000441679,41.36056818210064,263.051,0.010477,0.401994,-0.475641,-0.0261093,0.399091,0.0225796,-3.65879,0.41299,-0.215143,0.144522,0.000455318,1.01821,-1.35396,0.3,0.0,29747.8
0.26,68.3638,0.00034959,3000.0,56.00000000417791,41.36061555251894,263.078,0.0142525,0.410218,-0.548847,-0.0304806,0.40632,0.0260144,-3.83217,0.46662,-0.226422,0.144705,-3.76817e-05,1.02379,-1.35396,0.3,0.0,29747.8
0.28,73.6254,0.000296735,3000.0,56.00000000354625,41.36066292833967,263.105,0.0191254,0.419507,-0.625524,-0.0350984,0.414369,0.0295638,-3.99372,0.518364,-0.236335,0.144915,-0.000558465,1.02983,-1.35396,0.3,0.0,29747.8
0.3,78.8875,0.000203714,3000.0,56.00000000243457,41.36071030866244,263.132,0.0251848,0.429822,-0.705433,-0.0399381,0.423182,0.0331968,-4.14459,0.56826,-0.244853,0.145149,-0.0011013,1.03629,-1.35396,0.3,0.0,29747.8
0.32,84.1501,6.28162e-05,3000.0,56.00000000075071,41.36075769348725,263.168,0.0325131,0.441126,-0.788363,-0.0449749,0.432859,0.0368807,-4.28581,0.638899,-0.25196,0.191194,-0.00166044,1.03924,-1.40396,0.3,0.0,33969.8
0.34,89.4134,-0.000133975,3000.0,55.99999999839888,41.3608050846149,263.204,0.040488,0.453833,-0.874119,-0.0501895,0.443609,0.0405849,-4.4183,0.707043,-0.257623,0.191473,-0.00223029,1.04729,-1.40396,0.3,0.0,33969.8
0.36,94.6775,-0.000395098,3000.0,55.99999999527822,41.36085248294582,263.24,0.0500446,0.467894,-0.962528,-0.0555573,0.45536,0.044277,-4.54286,0.772742,-0.261846,0.191784,-0.00280535,1.0559,-1.40396,0.3,0.0,33969.8
0.38,99.9423,-0.000729345,3000.01,55.99999999128367,41.360899887579585,263.276,0.0612913,0.483259,-1.05343,-0.0610532,0.468042,0.0479248,-4.66018,0.83605,-0.264646,0.192125,-0.00337988,1.06502,-1.40396,0.3,0.0,33969.8
0.4,105.208,-0.00114584,3000.01,55.999999986306186,41.36094730031701,263.312,0.0743286,0.499879,-1.14668,-0.0666529,0.481585,0.0514972,-4.77088,0.897015,-0.266051,0.192494,-0.00394826,1.07462,-1.40396,0.3,0.0,33969.8
0.42,110.474,-0.00165402,3000.01,55.99999998023298,41.36099471575566,263.357,0.0892492,0.51771,-1.24215,-0.072332,0.496074,0.0549616,-4.87549,0.978262,-0.266102,0.238678,-0.00450505,1.08075,-1.45396,0.3,0.0,38191.8
0.44,115.741,-0.0022635,3000.01,55.99999997294915,41.36104214019838,263.401,0.10545,0.537155,-1.33971,-0.0780771,0.511712,0.0582904,-4.97448,1.05655,-0.264817,0.239096,-0.00504524,1.09203,-1.45396,0.3,0.0,38191.8
0.46,121.009,-0.00298427,3000.01,55.9999999643353,41.361089573645174,263.446,0.123866,0.558156,-1.43925,-0.0838663,0.528413,0.0614542,-5.06823,1.13193,-0.262255,0.239549,-0.00556387,1.10389,-1.45396,0.3,0.0,38191.8
0.48,126.278,-0.00382661,3000.02,55.99999995426858,41.36113701609603,263.491,0.14461,0.580656,-1.54067,-0.0896786,0.546097,0.064425,-5.15707,1.20447,-0.258485,0.240034,-0.006056,1.1163,-1.45396,0.3,0.0,38191.8
0.5,131.548,-0.00480106,3000.02,55.999999942623035,41.36118446755097,263.536,0.167789,0.604598,-1.64387,-0.0954944,0.564685,0.0671769,-5.24127,1.27425,-0.253584,0.240548,-0.00651695,1.1292,-1.45396,0.3,0.0,38191.8
0.52,136.819,-0.00591843,3000.02,55.999999929269464,41.36123192800997,263.59,0.1935,0.629927,-1.74876,-0.101295,0.584083,0.0697925,-5.79559,1.34131,-0.268889,0.28531,-0.00438453,1.14256,-1.45396,0.6,0.0,42220.0
0.54,142.09,-0.00718003,3000.03,55.999999914192216,41.36127938846898,263.643,0.221938,0.656576,-1.86474,-0.10749,0.604245,0.0724764,-6.30454,1.40579,-0.282844,0.285864,-0.00464254,1.15639,-1.45396,0.6,0.0,42220.0
0.56,147.363,-0.00859635,3000.03,55.99999989726592,41.361326866936125,263.697,0.253102,0.684493,-1.99091,-0.114059,0.625105,0.0751925,-6.77219,1.46774,-0.295427,0.286441,-0.00493195,1.1706,-1.45396,0.6,0.0,42220.0
0.58,152.637,-0.0101792,3000.04,55.99999987834945,41.36137435440734,263.75,0.287062,0.713625,-2.12643,-0.120984,0.646596,0.0779051,-7.20224,1.52722,-0.306634,0.28704,-0.0052447,1.18515,-1.45396,0.6,0.0,42220.0
0.6,157.912,-0.0119414,3000.05,55.99999985728958,41.36142185088263,263.804,0.323884,0.743921,-2.27057,-0.128246,0.668656,0.0805792,-7.59802,1.58429,-0.316472,0.287658,-0.00557303,1.20001,-1.45396,0.6,0.0,42220.0
0.62,163.188,-0.0138973,3000.05,55.99999983391482,41.361469356361994,263.857,0.363625,0.775331,-2.42263,-0.135827,0.691223,0.0831806,-7.96254,1.63902,-0.324965,0.288293,-0.00590947,1.21513,-1.45396,0.6,0.0,42220.0
0.64,168.465,-0.016062,3000.06,55.99999980804472,41.36151687084542,263.911,0.406334,0.807807,-2.58199,-0.143706,0.714241,0.0856768,-8.29851,1.69145,-0.332148,0.288944,-0.00624688,1.2305,-1.45396,0.6,0.0,42220.0
0.66,173.744,-0.0184518,3000.07,55.99999977948447,41.361564403337,263.964,0.452056,0.841303,-2.74807,-0.151867,0.737654,0.0880364,-8.60835,1.74166,-0.338072,0.289609,-0.00657853,1.24607,-1.45396,0.6,0.0,42220.0
0.68,179.023,-0.021084,3000.08,55.99999974802732,41.36161193582857,264.017,0.500825,0.875772,-2.92036,-0.160292,0.761409,0.0902302,-8.89425,1.7897,-0.342796,0.290285,-0.00689806,1.26182,-1.45396,0.6,0.0,42220.0
0.7,184.303,-0.0239767,3000.09,55.99999971345697,41.36165947732422,264.071,0.552674,0.91117,-3.09838,-0.168963,0.785455,0.0922305,-9.15819,1.83562,-0.346391,0.290972,-0.00719956,1.27771,-1.45396,0.6,0.0,42220.0
0.72,189.585,-0.027149,3000.1,55.99999967554514,41.361707036828,264.124,0.607626,0.947454,-3.28168,-0.177866,0.809743,0.0940121,-9.40191,1.87948,-0.34894,0.291668,-0.00747757,1.29373,-1.45396,0.6,0.0,42220.0
0.74,194.867,-0.0306207,3000.12,55.99999963405522,41.36175459633179,264.177,0.6657,0.984583,-3.46987,-0.186986,0.834227,0.0955519,-9.62699,1.92134,-0.350531,0.29237,-0.00772711,1.30983,-1.45396,0.6,0.0,42220.0
0.76,200.151,-0.0344127,3000.13,55.999999588737424,41.36180217384372,264.23,0.726908,1.02252,-3.66257,-0.196311,0.858862,0.0968294,-9.83486,1.96126,-0.351261,0.293078,-0.00794367,1.326,-1.45396,0.6,0.0,42220.0
0.78,205.435,-0.0385463,3000.15,55.9999995393372,41.36184975135565,264.283,0.79126,1.06121,-3.85944,-0.205829,0.883607,0.0978264,-10.0268,1.99928,-0.351236,0.293791,-0.00812325,1.34221,-1.45396,0.6,0.0,42220.0
0.8,210.721,-0.0430438,3000.16,55.999999485588056,41.36189734687572,264.336,0.858759,1.10063,-4.06016,-0.215531,0.90842,0.0985277,-10.2039,2.03546,-0.350565,0.294506,-0.00826238,1.35844,-1.45396,0.6,0.0,42220.0
0.82,216.008,-0.0479279,3000.18,55.99999942721869,41.36194495139986,264.389,0.929402,1.14074,-4.26442,-0.225408,0.933264,0.0989206,-10.3671,2.06987,-0.349362,0.295223,-0.00835807,1.37467,-1.45396,0.6,0.0,42220.0
0.84,221.295,-0.0532223,3000.2,55.99999936394587,41.361992555924004,264.442,1.00318,1.18151,-4.47197,-0.235456,0.958101,0.0989953,-10.5175,2.10255,-0.347746,0.295941,-0.0084079,1.39087,-1.45396,0.6,0.0,42220.0
0.86,226.584,-0.0589509,3000.22,55.99999929548397,41.36204017845629,264.495,1.08009,1.22289,-4.68253,-0.245671,0.982897,0.0987448,-10.6558,2.13355,-0.345837,0.296658,-0.00840994,1.40703,-1.45396,0.6,0.0,42220.0
0.88,231.874,-0.0651386,3000.25,55.99999922153541,41.36208780999265,264.547,1.16012,1.26485,-4.89586,-0.25605,1.00762,0.0981649,-10.7827,2.16293,-0.343756,0.297373,-0.0083628,1.42313,-1.45396,0.6,0.0,42220.0
0.9,237.165,-0.0718105,3000.27,55.99999914180024,41.362135450533074,264.6,1.24324,1.30737,-5.11175,-0.266594,1.03224,0.0972545,-10.8989,2.19075,-0.341627,0.298086,-0.0082656,1.43914,-1.45396,0.6,0.0,42220.0
0.92,242.457,-0.0789925,3000.3,55.99999905596891,41.36218310007757,264.652,1.32944,1.3504,-5.32997,-0.277306,1.05672,0.0960151,-11.005,2.21705,-0.339569,0.298794,-0.00811798,1.45506,-1.45396,0.6,0.0,42220.0
0.94,247.75,-0.0867107,3000.33,55.9999989637295,41.36223075862615,264.705,1.41869,1.39392,-5.55033,-0.28819,1.08104,0.0944508,-11.1016,2.24189,-0.337704,0.299499,-0.00792007,1.47087,-1.45396,0.6,0.0,42220.0
0.96,253.044,-0.0949921,3000.36,55.99999886475936,41.36227842617879,264.757,1.51096,1.43789,-5.77263,-0.299252,1.10517,0.0925687,-11.1891,2.26532,-0.336148,0.300198,-0.0076725,1.48654,-1.45396,0.6,0.0,42220.0
0.98,258.339,-0.103864,3000.39,55.99999875873221,41.3623261027355,264.809,1.60622,1.48229,-5.9967,-0.310501,1.12909,0.0903785,-11.2679,2.28738,-0.335016,0.30089,-0.00737635,1.50208,-1.45396,0.6,0.0,42220.0
1.0,263.635,-0.113353,3000.42,55.999998645330166,41.36237378829628,264.861,1.70444,1.52709,-6.22235,-0.321947,1.15278,0.0878922,-11.3386,2.30814,-0.334415,0.301576,-0.00703315,1.51746,-1.45396,0.6,0.0,42220.0
1.02,268.932,-0.123489,3000.46,55.999998524195895,41.36242148286114,264.913,1.80558,1.57226,-6.44943,-0.333603,1.17621,0.0851243,-11.4015,2.32764,-0.334451,0.302255,-0.00664488,1.53267,-1.45396,0.6,0.0,42220.0
1.04,274.23,-0.134299,3000.5,55.99999839500671,41.36246918643006,264.964,1.9096,1.61776,-6.67779,-0.345483,1.19936,0.0820915,-11.4569,2.34592,-0.33522,0.302925,-0.00621389,1.54771,-1.45396,0.6,0.0,42220.0
1.06,279.529,-0.145812,3000.54,55.99999825741606,41.36251689900306,265.016,2.01647,1.66358,-6.90727,-0.357603,1.22222,0.0788127,-11.5053,2.36305,-0.336814,0.303586,-0.00574293,1.56255,-1.45396,0.6,0.0,42220.0
1.08,284.829,-0.158058,3000.58,55.999998111065395,41.36256462058013,265.067,2.12613,1.70969,-7.13773,-0.369978,1.24477,0.0753085,-11.5469,2.37906,-0.339317,0.304238,-0.00523508,1.5772,-1.45396,0.6,0.0,42220.0
1.1,290.13,-0.171065,3000.63,55.9999979556201,41.36261235116127,265.119,2.23855,1.75606,-7.36905,-0.38263,1.26699,0.0716015,-11.5821,2.394,-0.342802,0.304881,-0.00469373,1.59164,-1.45396,0.6,0.0,42220.0
1.12,295.433,-0.184865,3000.67,55.99999779069775,41.36266009975055,265.17,2.35368,1.80267,-7.60109,-0.395576,1.28887,0.0677155,-11.6113,2.40793,-0.347339,0.305513,-0.00412259,1.60587,-1.45396,0.6,0.0,42220.0
1.14,300.736,-0.199487,3000.72,55.999997615951756,41.36270784833983,265.221,2.47147,1.84948,-7.83373,-0.408838,1.3104,0.063676,-11.6347,2.42088,-0.352983,0.306135,-0.00352556,1.61987,-1.45396,0.6,0.0,42220.0
1.16,306.04,-0.214961,3000.77,55.9999974310236,41.36275560593318,265.272,2.59186,1.89649,-8.06686,-0.422437,1.33157,0.0595093,-11.6526,2.4329,-0.359783,0.306746,-0.00290678,1.63365,-1.45396,0.6,0.0,42220.0
1.18,311.345,-0.231319,3000.83,55.999997235530856,41.36280337253061,265.323,2.71482,1.94365,-8.30038,-0.436397,1.35237,0.0552427,-11.6655,2.44403,-0.367779,0.307345,-0.00227058,1.64719,-1.45396,0.6,0.0,42220.0
1.2,316.651,-0.248591,3000.88,55.99999702911499,41.3628511481321,265.373,2.84028,1.99096,-8.53417,-0.45074,1.37278,0.0509044,-11.6735,2.45432,-0.376998,0.307934,-0.0016214,1.6605,-1.45396,0.6,0.0,42220.0
1.22,321.958,-0.266809,3000.94,55.99999681139358,41.362898932737664,265.423,2.96819,2.03838,-8.76816,-0.465489,1.39281,0.0465227,-11.677,2.4638,-0.387459,0.308511,-0.000963779,1.67356,-1.45396,0.6,0.0,42220.0
1.24,327.266,-0.286004,3001.01,55.99999658199615,41.3629467263473,265.474,3.09851,2.0859,-9.00224,-0.480668,1.41244,0.0421264,-11.6764,2.47253,-0.39917,0.309076,-0.000302335,1.68637,-1.45396,0.6,0.0,42220.0
1.26,332.575,-0.306209,3001.07,55.999996340528305,41.36299452896101,265.524,3.23116,2.13349,-9.23633,-0.496301,1.43167,0.037744,-11.672,2.48053,-0.41213,0.309629,0.000358306,1.69893,-1.45396,0.6,0.0,42220.0
1.28,337.885,-0.327456,3001.14,55.99999608660764,41.363042340578794,265.574,3.36611,2.18114,-9.47037,-0.51241,1.45049,0.033404,-11.6641,2.48785,-0.426326,0.31017,0.00101353,1.71124,-1.45396,0.6,0.0,42220.0
1.3,343.196,-0.349777,3001.21,55.999995819851705,41.36309016120064,265.623,3.50329,2.22882,-9.70429,-0.529019,1.46891,0.0291345,-11.653,2.49452,-0.441736,0.310699,0.00165878,1.7233,-1.45396,0.6,0.0,42220.0
1.32,348.508,-0.373205,3001.28,55.99999553986613,41.363137990826566,265.673,3.64264,2.2765,-9.93801,-0.546149,1.48692,0.0249627,-11.639,2.50058,-0.45833,0.311216,0.00228959,1.7351,-1.45396,0.6,0.0,42220.0
1.34,353.821,-0.397772,3001.36,55.99999524626848,41.363185829456555,265.722,3.78411,2.32418,-10.1715,-0.563823,1.50452,0.020915,-11.6226,2.50607,-0.476067,0.31172,0.00290161,1.74664,-1.45396,0.6,0.0,42220.0
1.36,359.135,-0.423513,3001.44,55.99999493864049,41.36323367709062,265.772,3.92763,2.37183,-10.4047,-0.58206,1.5217,0.0170168,-11.604,2.511,-0.494896,0.312212,0.00349065,1.75792,-1.45396,0.6,0.0,42220.0
1.38,364.45,-0.45046,3001.52,55.999994616599714,41.36328153372875,265.821,4.07316,2.41944,-10.6375,-0.60088,1.53847,0.0132922,-11.5836,2.51543,-0.51476,0.312693,0.00405273,1.76895,-1.45396,0.6,0.0,42220.0
1.4,369.765,-0.478647,3001.6,55.99999427973983,41.36332939036689,265.87,4.22064,2.46699,-10.87,-0.620302,1.55483,0.00976391,-11.5617,2.51937,-0.535592,0.313161,0.00458408,1.77972,-1.45396,0.6,0.0,42220.0
1.42,375.082,-0.508108,3001.69,55.9999939276545,41.36337726501317,265.918,4.37,2.51445,-11.1021,-0.640342,1.57078,0.00645284,-11.5387,2.52287,-0.55732,0.313617,0.00508116,1.79024,-1.45396,0.6,0.0,42220.0
1.44,380.399,-0.538877,3001.78,55.99999355993741,41.36342513965945,265.967,4.52118,2.56182,-11.3338,-0.661015,1.58633,0.00337832,-11.5148,2.52593,-0.579863,0.314061,0.00554075,1.8005,-1.45396,0.6,0.0,42220.0
1.46,385.718,-0.570988,3001.87,55.99999317618221,41.36347303231386,266.015,4.67414,2.60907,-11.5651,-0.682335,1.60147,0.000557719,-11.4904,2.5286,-0.603135,0.314493,0.00595988,1.81051,-1.45396,0.6,0.0,42220.0
1.48,391.037,-0.604477,3001.97,55.999992775958674,41.363520924968284,266.063,4.82881,2.6562,-11.7959,-0.704313,1.61621,-0.00199359,-11.4659,2.5309,-0.627043,0.314913,0.00633595,1.82027,-1.45396,0.6,0.0,42220.0
