time(1),x(2),y(3),h(4),lon(5),lat(6),v(7),vz(8),theta(9),phi(10),psi(11),alf(12),beta(13),p(14),q(15),r(16),nx(17),ny(18),nz(19),ele(20),ail(21),rud(22),throttle(23)
0.02,5.25725,0.0,3000.0,56.0,41.360047336653025,262.871,0.0,0.365995,0.0,0.0,0.366048,0.000109429,-0.471532,0.0225144,-0.0212834,0.0521906,0.00256123,0.998454,-1.25396,0.3,0.0,21303.8
0.04,10.5147,1.00404e-05,3000.0,56.00000000011999,41.360094675106865,262.88,-0.000241642,0.366445,-0.00943335,-0.000425676,0.366518,0.000590441,-0.901927,0.0443043,-0.0423696,0.0521874,0.00270582,0.999229,-1.25396,0.3,0.0,21303.8
0.06,15.7723,3.0695e-05,3000.0,56.00000000036683,41.36014201491132,262.889,-0.000331016,0.367331,-0.0274773,-0.00127323,0.367381,0.00143376,-1.29515,0.0653863,-0.0631202,0.0521976,0.00277102,1.00023,-1.25396,0.3,0.0,21303.8
0.08,21.0301,6.15905e-05,3000.0,56.00000000073606,41.360189356516585,262.898,-0.000223979,0.368638,-0.0533883,-0.00253629,0.368615,0.00262746,-1.65479,0.0857768,-0.0834031,0.0522204,0.00276037,1.00143,-1.25396,0.3,0.0,21303.8
0.1,26.288,0.000101472,3000.0,56.00000000121268,41.36023669902226,262.907,0.000120871,0.370352,-0.0864948,-0.00420598,0.370197,0.00415708,-1.98413,0.105492,-0.103093,0.0522552,0.00267773,1.00283,-1.25396,0.3,0.0,21303.8
0.12,31.5462,0.000148263,3000.0,56.00000000177187,41.360284044229154,262.925,0.000742305,0.372459,-0.126191,-0.00627107,0.372262,0.00600571,-2.28613,0.147068,-0.122072,0.0980893,0.00252718,1.00051,-1.30396,0.3,0.0,25525.8
0.14,36.8047,0.000199145,3000.0,56.00000000237996,41.36033139213727,262.943,0.000968909,0.375395,-0.171929,-0.00871904,0.375049,0.00815439,-2.56352,0.18727,-0.140219,0.0981454,0.00231317,1.0031,-1.30396,0.3,0.0,25525.8
0.16,42.0636,0.0002506,3000.0,56.000000002994895,41.36037874364701,262.961,0.00170598,0.379132,-0.223218,-0.0115347,0.378516,0.0105815,-2.81873,0.226128,-0.157427,0.0982239,0.00203998,1.00607,-1.30396,0.3,0.0,25525.8
0.18,47.3228,0.000298446,3000.0,56.0000000035667,41.360426097857975,262.979,0.00302829,0.383642,-0.279614,-0.0147009,0.382621,0.0132637,-3.05397,0.263668,-0.173604,0.0983233,0.00171247,1.00939,-1.30396,0.3,0.0,25525.8
0.2,52.5824,0.000337888,3000.0,56.000000004038064,41.360473455670565,262.997,0.00500572,0.388899,-0.340717,-0.0181988,0.387323,0.0161756,-3.27123,0.299917,-0.188666,0.0984423,0.00133569,1.01305,-1.30396,0.3,0.0,25525.8
0.22,57.8423,0.000363552,3000.0,56.00000000434477,41.36052081618438,263.024,0.00770342,0.394874,-0.406167,-0.0220078,0.392739,0.0192901,-3.47229,0.357436,-0.20254,0.144368,0.000914852,1.01312,-1.35396,0.3,0.0,29747.8
0.24,63.1028,0.000369578,3000.0,56.00000000441679,41.36056818210064,263.051,0.010477,0.401994,-0.475641,-0.0261093,0.399091,0.0225796,-3.65879,0.41299,-0.215143,0.144522,0.000455318,1.01821,-1.35396,0.3,0.0,29747.8
0.26,68.3638,0.00034959,3000.0,56.00000000417791,41.36061555251894,263.078,0.0142525,0.410218,-0.548847,-0.0304806,0.40632,0.0260144,-3.83217,0.46662,-0.226422,0.144705,-3.76817e-05,1.02379,-1.35396,0.3,0.0,29747.8
0.28,73.6254,0.000296735,3000.0,56.00000000354625,41.36066292833967,263.105,0.0191254,0.419507,-0.625524,-0.0350984,0.414369,0.0295638,-3.99372,0.518364,-0.236335,0.144915,-0.000558465,1.02983,-1.35396,0.3,0.0,29747.8
0.3,78.8875,0.000203714,3000.0,56.00000000243457,41.36071030866244,263.132,0.0251848,0.429822,-0.705433,-0.0399381,0.423182,0.0331968,-4.14459,0.56826,-0.244853,0.145149,-0.0011013,1.03629,-1.35396,0.3,0.0,29747.8
0.32,84.1501,6.28162e-05,3000.0,56.00000000075071,41.36075769348725,263.168,0.0325131,0.441126,-0.788363,-0.0449749,0.432859,0.0368807,-4.28581,0.638899,-0.25196,0.191194,-0.00166044,1.03924,-1.40396,0.3,0.0,33969.8
0.34,89.4134,-0.000133975,3000.0,55.99999999839888,41.3608050846149,263.204,0.040488,0.453833,-0.874119,-0.0501895,0.443609,0.0405849,-4.4183,0.707043,-0.257623,0.191473,-0.00223029,1.04729,-1.40396,0.3,0.0,33969.8
0.36,94.6775,-0.000395098,3000.0,55.99999999527822,41.36085248294582,263.24,0.0500446,0.467894,-0.962528,-0.0555573,0.45536,0.044277,-4.54286,0.772742,-0.261846,0.191784,-0.00280535,1.0559,-1.40396,0.3,0.0,33969.8
0.38,99.9423,-0.000729345,3000.01,55.99999999128367,41.360899887579585,263.276,0.0612913,0.483259,-1.05343,-0.0610532,0.468042,0.0479248,-4.66018,0.83605,-0.264646,0.192125,-0.00337988,1.06502,-1.40396,0.3,0.0,33969.8
0.4,105.208,-0.00114584,3000.01,55.999999986306186,41.36094730031701,263.312,0.0743286,0.499879,-1.14668,-0.0666529,0.481585,0.0514972,-4.77088,0.897015,-0.266051,0.192494,-0.00394826,1.07462,-1.40396,0.3,0.0,33969.8
0.42,110.474,-0.00165402,3000.01,55.99999998023298,41.36099471575566,263.357,0.0892492,0.51771,-1.24215,-0.072332,0.496074,0.0549616,-4.87549,0.978262,-0.266102,0.238678,-0.00450505,1.08075,-1.45396,0.3,0.0,38191.8
0.44,115.741,-0.0022635,3000.01,55.99999997294915,41.36104214019838,263.401,0.10545,0.537155,-1.33971,-0.0780771,0.511712,0.0582904,-4.97448,1.05655,-0.264817,0.239096,-0.00504524,1.09203,-1.45396,0.3,0.0,38191.8
0.46,121.009,-0.00298427,3000.01,55.9999999643353,41.361089573645174,263.446,0.123866,0.558156,-1.43925,-0.0838663,0.528413,0.0614542,-5.06823,1.13193,-0.262255,0.239549,-0.00556387,1.10389,-1.45396,0.3,0.0,38191.8
0.48,126.278,-0.00382661,3000.02,55.99999995426858,41.36113701609603,263.491,0.14461,0.580656,-1.54067,-0.0896786,0.546097,0.064425,-5.15707,1.20447,-0.258485,0.240034,-0.006056,1.1163,-1.45396,0.3,0.0,38191.8
0.5,131.548,-0.00480106,3000.02,55.999999942623035,41.36118446755097,263.536,0.167789,0.604598,-1.64387,-0.0954944,0.564685,0.0671769,-5.24127,1.27425,-0.253584,0.240548,-0.00651695,1.1292,-1.45396,0.3,0.0,38191.8
0.52,136.819,-0.00591843,3000.02,55.999999929269464,41.36123192800997,263.59,0.1935,0.629927,-1.74876,-0.101295,0.584249,0.0697925,-5.79562,1.36391,-0.268893,0.284752,-0.00438453,1.13865,-1.50396,0.6,0.0,42220.0
0.54,142.09,-0.00717956,3000.03,55.99999991419783,41.36127938846898,263.643,0.221171,0.657028,-1.86474,-0.107503,0.604998,0.0724762,-6.30459,1.45025,-0.282817,0.285319,-0.0046427,1.15325,-1.50396,0.6,0.0,42220.0
0.56,147.363,-0.00859492,3000.03,55.99999989728301,41.361326866936125,263.697,0.251719,0.685834,-1.99091,-0.114101,0.626838,0.0751901,-6.77228,1.53335,-0.295329,0.285923,-0.00493261,1.16847,-1.50396,0.6,0.0,42220.0
0.58,152.637,-0.0101763,3000.04,55.9999998783841,41.36137435440734,263.75,0.285262,0.716277,-2.12644,-0.12107,0.64968,0.0778966,-7.20239,1.61328,-0.306419,0.28656,-0.00524598,1.18423,-1.50396,0.6,0.0,42220.0
0.6,157.912,-0.0119367,3000.05,55.99999985734575,41.36142185088263,263.803,0.321904,0.748293,-2.27058,-0.128392,0.673439,0.0805585,-7.59825,1.6901,-0.316094,0.287228,-0.00557474,1.2005,-1.50396,0.6,0.0,42220.0
0.62,163.188,-0.0138904,3000.05,55.999999833997286,41.361469356361994,263.857,0.361743,0.781818,-2.42264,-0.136048,0.6982,0.0831397,-7.96292,1.78653,-0.32438,0.287367,-0.00591109,1.21331,-1.55396,0.6,0.0,42220.0
0.64,168.465,-0.0160522,3000.06,55.99999980816184,41.36151687084542,263.91,0.404098,0.817243,-2.58201,-0.144041,0.724137,0.0856046,-8.29905,1.87927,-0.33126,0.288102,-0.00624776,1.23122,-1.55396,0.6,0.0,42220.0
0.66,173.744,-0.0184384,3000.07,55.99999977964461,41.361564403337,263.963,0.449965,0.854491,-2.74811,-0.152354,0.751149,0.0879178,-8.60911,1.96841,-0.336782,0.288873,-0.00657783,1.24973,-1.55396,0.6,0.0,42220.0
0.68,179.023,-0.0210666,3000.08,55.99999974823527,41.36161193582857,264.016,0.499459,0.893491,-2.92042,-0.16097,0.77914,0.0900452,-8.89527,2.05403,-0.341008,0.289677,-0.00689424,1.26877,-1.55396,0.6,0.0,42220.0
0.7,184.303,-0.0239555,3000.09,55.99999971371033,41.36165947732422,264.069,0.552681,0.934171,-3.09846,-0.169875,0.808019,0.0919549,-9.1595,2.13621,-0.344011,0.29051,-0.00719031,1.28829,-1.55396,0.6,0.0,42220.0
0.72,189.585,-0.0271246,3000.1,55.99999967583675,41.361707036828,264.122,0.60972,0.976461,-3.2818,-0.179056,0.837862,0.0936172,-9.4036,2.23769,-0.345885,0.290816,-0.00745985,1.30434,-1.60396,0.6,0.0,42220.0
0.74,194.867,-0.0305938,3000.12,55.9999996343767,41.36175459633179,264.175,0.669893,1.02075,-3.47004,-0.188525,0.86884,0.0950045,-9.62909,2.33518,-0.346664,0.291715,-0.00769737,1.32546,-1.60396,0.6,0.0,42220.0
0.76,200.15,-0.0343847,3000.13,55.999999589072054,41.36180216483965,264.228,0.734188,1.06694,-3.66279,-0.198274,0.900845,0.0960897,-9.83738,2.42875,-0.346454,0.292649,-0.00789791,1.34714,-1.60396,0.6,0.0,42220.0
0.78,205.435,-0.0385197,3000.15,55.9999995396551,41.36184975135565,264.281,0.802713,1.11498,-3.85973,-0.208293,0.933776,0.0968485,-10.0297,2.51851,-0.34537,0.293614,-0.00805637,1.36932,-1.60396,0.6,0.0,42220.0
0.8,210.721,-0.0430226,3000.16,55.999999485841414,41.36189734687572,264.333,0.875561,1.16477,-4.06052,-0.218577,0.967536,0.09726,-10.2072,2.60454,-0.343536,0.294608,-0.00816822,1.39195,-1.60396,0.6,0.0,42220.0
0.82,216.007,-0.0479178,3000.18,55.99999942733939,41.361944942395795,264.386,0.952815,1.21624,-4.26488,-0.229121,1.0022,0.0973062,-10.3709,2.70964,-0.34109,0.295073,-0.00822954,1.41107,-1.65396,0.6,0.0,42220.0
0.84,221.295,-0.0532296,3000.2,55.99999936385863,41.361992555924004,264.438,1.03378,1.26978,-4.47253,-0.239957,1.03793,0.096972,-10.5217,2.81046,-0.3381,0.296129,-0.00823726,1.43522,-1.65396,0.6,0.0,42220.0
0.86,226.584,-0.0589844,3000.23,55.99999929508361,41.36204017845629,264.49,1.11944,1.32529,-4.68321,-0.251084,1.07461,0.0962436,-10.6602,2.90713,-0.334706,0.297217,-0.0081889,1.45989,-1.65396,0.6,0.0,42220.0
0.88,231.873,-0.0652095,3000.25,55.999999220688096,41.362087800988576,264.542,1.20989,1.38269,-4.89668,-0.262505,1.11215,0.0951105,-10.7872,2.99974,-0.331053,0.298335,-0.00808189,1.48502,-1.65396,0.6,0.0,42220.0
0.9,237.164,-0.0719334,3000.28,55.99999914033147,41.362135441529006,264.594,1.30522,1.4419,-5.1127,-0.274226,1.15044,0.0935659,-10.9034,3.0884,-0.32729,0.299479,-0.00791429,1.51054,-1.65396,0.6,0.0,42220.0
0.92,242.456,-0.0791851,3000.3,55.99999905366716,41.362183091073504,264.646,1.40549,1.50284,-5.33108,-0.286254,1.18955,0.0916069,-11.0092,3.19593,-0.323573,0.300095,-0.00768481,1.53251,-1.70396,0.6,0.0,42220.0
0.94,247.749,-0.0869936,3000.33,55.9999989603486,41.36223074962207,264.698,1.51,1.56588,-5.55158,-0.29864,1.22964,0.0892335,-11.1052,3.29897,-0.319978,0.301297,-0.00739312,1.55946,-1.70396,0.6,0.0,42220.0
0.96,253.043,-0.0953899,3000.37,55.99999886000529,41.362278417174714,264.749,1.61973,1.63093,-5.77404,-0.311397,1.27061,0.0864468,-11.1918,3.39766,-0.316655,0.30253,-0.00703944,1.58688,-1.70396,0.6,0.0,42220.0
0.98,258.337,-0.104406,3000.4,55.999998752254825,41.36232608472736,264.8,1.73476,1.6979,-5.99825,-0.324539,1.31234,0.0832518,-11.2694,3.49211,-0.313751,0.30379,-0.00662388,1.61469,-1.70396,0.6,0.0,42220.0
1.0,263.633,-0.114076,3000.44,55.99999863668967,41.36237377028814,264.851,1.85515,1.76671,-6.22404,-0.338084,1.35473,0.0796572,-11.3382,3.58244,-0.311412,0.305073,-0.00614717,1.64286,-1.70396,0.6,0.0,42220.0
1.02,268.93,-0.124433,3000.48,55.999998512914246,41.36242146485299,264.902,1.98099,1.83726,-6.45123,-0.352049,1.39786,0.0756748,-11.3988,3.69148,-0.309784,0.305829,-0.00561065,1.66743,-1.75396,0.6,0.0,42220.0
1.04,274.228,-0.135511,3000.52,55.99999838052223,41.36246916842192,264.953,2.11154,1.90992,-6.67967,-0.366508,1.44188,0.0713198,-11.4513,3.79589,-0.308929,0.307167,-0.00501659,1.69691,-1.75396,0.6,0.0,42220.0
1.06,279.527,-0.147345,3000.57,55.99999823909533,41.36251688099492,265.003,2.24777,1.98461,-6.9092,-0.381483,1.48668,0.0666079,-11.496,3.89579,-0.308977,0.308533,-0.00436776,1.7268,-1.75396,0.6,0.0,42220.0
1.08,284.827,-0.159974,3000.61,55.99999808816748,41.362564602571986,265.053,2.38974,2.06122,-7.13965,-0.396999,1.53215,0.0615579,-11.5333,3.99132,-0.310053,0.309923,-0.00366668,1.75705,-1.75396,0.6,0.0,42220.0
1.1,290.128,-0.173436,3000.66,55.999997927284525,41.36261233315312,265.103,2.53753,2.13965,-7.3709,-0.413083,1.5782,0.056192,-11.5632,4.08259,-0.312274,0.311335,-0.00291641,1.78758,-1.75396,0.6,0.0,42220.0
1.12,295.429,-0.187769,3000.72,55.99999775599235,41.36266006373426,265.152,2.69117,2.21983,-7.60279,-0.429763,1.62489,0.0505352,-11.5863,4.19247,-0.315751,0.31222,-0.0021205,1.81448,-1.80396,0.6,0.0,42220.0
1.14,300.732,-0.203013,3000.78,55.9999975738129,41.36270781232354,265.201,2.84995,2.3021,-7.83518,-0.447128,1.67238,0.0446144,-11.6025,4.2976,-0.320512,0.313682,-0.00128334,1.84622,-1.80396,0.6,0.0,42220.0
1.16,306.036,-0.219209,3000.84,55.9999973802562,41.3627555699169,265.25,3.01481,2.38638,-8.06796,-0.46521,1.72056,0.0384566,-11.6122,4.39812,-0.326645,0.31517,-0.000409635,1.87831,-1.80396,0.6,0.0,42220.0
1.18,311.34,-0.236399,3000.9,55.99999717482031,41.36280332751025,265.298,3.1858,2.47256,-8.30099,-0.484039,1.76933,0.0320912,-11.6157,4.49417,-0.334231,0.31668,0.000496309,1.91071,-1.80396,0.6,0.0,42220.0
1.2,316.646,-0.254628,3000.97,55.999996956967436,41.362851103111744,265.346,3.36298,2.56053,-8.53415,-0.503647,1.81859,0.0255494,-11.6131,4.58588,-0.34334,0.318209,0.00142982,1.94334,-1.80396,0.6,0.0,42220.0
1.22,321.952,-0.273941,3001.04,55.9999967261598,41.36289887871324,265.394,3.54637,2.65022,-8.76732,-0.524068,1.8684,0.0188645,-11.6048,4.6961,-0.354033,0.319213,0.00238588,1.97228,-1.85396,0.6,0.0,42220.0
1.24,327.259,-0.294381,3001.11,55.9999964818835,41.3629466633188,265.441,3.73526,2.74196,-9.0004,-0.545404,1.91893,0.0120707,-11.5911,4.80151,-0.366284,0.320789,0.00335887,2.00601,-1.85396,0.6,0.0,42220.0
1.26,332.568,-0.315996,3001.19,55.99999622356489,41.362994465932516,265.488,3.93056,2.83566,-9.23329,-0.567687,1.97008,0.00520091,-11.5721,4.90222,-0.38013,0.322388,0.00434299,2.04005,-1.85396,0.6,0.0,42220.0
1.28,337.877,-0.338834,3001.27,55.99999595063035,41.363042268546224,265.535,4.13232,2.93122,-9.46588,-0.59095,2.02172,-0.00171093,-11.5482,4.99839,-0.395594,0.324007,0.0053331,2.07432,-1.85396,0.6,0.0,42220.0
1.3,343.187,-0.362946,3001.36,55.99999566247036,41.363090080164,265.581,4.34058,3.02852,-9.69809,-0.615226,2.07378,-0.00862939,-11.5197,5.09016,-0.412664,0.325648,0.00633579,2.10875,-1.85396,0.6,0.0,42220.0
1.32,348.497,-0.388382,3001.45,55.99999535848739,41.36313789178178,265.626,4.55535,3.12748,-9.92982,-0.640544,2.12632,-0.015518,-11.4866,5.20042,-0.431258,0.326782,0.00737166,2.13935,-1.90396,0.6,0.0,42220.0
1.34,353.809,-0.415192,3001.55,55.99999503808389,41.3631857214077,265.671,4.77587,3.22845,-10.161,-0.667014,2.17951,-0.0223436,-11.4494,5.30582,-0.451302,0.328481,0.0083993,2.17466,-1.90396,0.6,0.0,42220.0
1.36,359.121,-0.443429,3001.65,55.99999470062646,41.36323355103362,265.716,5.00305,3.33131,-10.3915,-0.694661,2.23324,-0.0290755,-11.4084,5.40652,-0.472777,0.3302,0.00941302,2.21023,-1.90396,0.6,0.0,42220.0
1.38,364.435,-0.473148,3001.75,55.9999943454578,41.36328139866769,265.76,5.23693,3.43596,-10.6214,-0.723513,2.28742,-0.0356832,-11.364,5.50265,-0.495659,0.331937,0.0104079,2.24599,-1.90396,0.6,0.0,42220.0
1.4,369.749,-0.504404,3001.86,55.99999397192062,41.36332924630175,265.803,5.47752,3.5423,-10.8505,-0.753594,2.34194,-0.0421364,-11.3165,5.59436,-0.51991,0.333689,0.0113791,2.28189,-1.90396,0.6,0.0,42220.0
1.42,375.063,-0.537255,3001.98,55.99999357932176,41.36337709393582,265.846,5.72484,3.65023,-11.0787,-0.784927,2.39688,-0.0484054,-11.2663,5.70452,-0.545479,0.334919,0.0123217,2.31404,-1.95396,0.6,0.0,42220.0
1.44,380.379,-0.571756,3002.1,55.99999316700392,41.36342495957802,265.888,5.97814,3.7601,-11.3061,-0.817621,2.45241,-0.0544623,-11.2139,5.80979,-0.572247,0.336708,0.0132306,2.35085,-1.95396,0.6,0.0,42220.0
1.46,385.695,-0.607967,3002.22,55.99999273425005,41.36347282522023,265.93,6.23832,3.87179,-11.5327,-0.851696,2.50843,-0.0602823,-11.1596,5.91031,-0.600152,0.338517,0.0141009,2.38788,-1.95396,0.6,0.0,42220.0
1.48,391.012,-0.645948,3002.35,55.9999922803431,41.363520699866505,265.971,6.50539,3.98521,-11.7582,-0.887169,2.56482,-0.065842,-11.1038,6.00623,-0.629123,0.34034,0.0149288,2.42506,-1.95396,0.6,0.0,42220.0
1.5,396.329,-0.685763,3002.49,55.9999918045182,41.36356857451278,266.011,6.77936,4.10025,-11.9829,-0.924054,2.6215,-0.0711193,-11.0469,6.09769,-0.659082,0.342176,0.0157106,2.46234,-1.95396,0.6,0.0,42220.0
1.52,401.648,-0.727475,3002.63,55.99999130602246,41.363616467167205,266.051,7.06025,4.21681,-12.2066,-0.962364,2.67838,-0.0760936,-10.9893,6.18482,-0.689943,0.34402,0.0164426,2.49966,-1.95396,0.6,0.0,42220.0
1.54,406.966,-0.771148,3002.77,55.99999078409101,41.36366435081755,266.09,7.34802,4.3348,-12.4293,-1.00211,2.73538,-0.0807462,-10.9314,6.26777,-0.721615,0.345871,0.0171217,2.53698,-1.95396,0.6,0.0,42220.0
1.56,412.286,-0.816848,3002.93,55.999990237935094,41.36371225247604,266.128,7.64267,4.45411,-12.651,-1.0433,2.7924,-0.0850603,-10.8735,6.34666,-0.754001,0.347725,0.0177449,2.57425,-1.95396,0.6,0.0,42220.0
1.58,417.606,-0.864643,3003.09,55.99998966674205,41.36376015413453,266.166,7.94417,4.57466,-12.8718,-1.08594,2.84938,-0.0890211,-10.8161,6.42163,-0.786997,0.349579,0.0183094,2.61142,-1.95396,0.6,0.0,42220.0
1.6,422.926,-0.914601,3003.25,55.999989069699225,41.36380805579302,266.203,8.25246,4.69636,-13.0916,-1.13004,2.90625,-0.0926163,-10.7595,6.49281,-0.820497,0.351432,0.0188131,2.64844,-1.95396,0.6,0.0,42220.0
1.62,428.247,-0.96679,3003.42,55.99998844599396,41.36385596645559,266.239,8.56751,4.81912,-13.3105,-1.17558,2.96293,-0.0958357,-10.704,6.56031,-0.854391,0.353281,0.0192539,2.68529,-1.95396,0.6,0.0,42220.0
1.64,433.569,-1.02128,3003.6,55.99998779478967,41.363903886122216,266.274,8.88925,4.94287,-13.5286,-1.22258,3.01937,-0.0986716,-10.6501,6.62427,-0.888563,0.355124,0.0196302,2.72193,-1.95396,0.6,0.0,42220.0
1.66,438.891,-1.07814,3003.78,55.99998711526177,41.36395180578885,266.309,9.21763,5.06752,-13.7457,-1.27103,3.07551,-0.101119,-10.5981,6.6848,-0.922899,0.356959,0.019941,2.75831,-1.95396,0.6,0.0,42220.0
1.68,444.213,-1.13745,3003.98,55.99998640645417,41.363999725455486,266.343,9.55256,5.19301,-13.9621,-1.32092,3.13129,-0.103176,-10.5483,6.74202,-0.95728,0.358784,0.0201855,2.79441,-1.95396,0.6,0.0,42220.0
1.7,449.536,-1.19927,3004.17,55.99998566764982,41.36404765412619,266.376,9.89398,5.31924,-14.1777,-1.37225,3.18666,-0.104842,-10.5009,6.79604,-0.991589,0.360597,0.0203634,2.83019,-1.95396,0.6,0.0,42220.0
1.72,454.859,-1.26369,3004.38,55.999984897773146,41.36409558279689,266.408,10.2418,5.44617,-14.3926,-1.42499,3.24156,-0.10612,-10.4564,6.84697,-1.02571,0.362396,0.020475,2.86563,-1.95396,0.6,0.0,42220.0
1.74,460.183,-1.33076,3004.59,55.9999840962266,41.36414352047167,266.439,10.5959,5.57371,-14.6069,-1.47914,3.29597,-0.107016,-10.4149,6.89492,-1.05952,0.36418,0.0205208,2.9007,-1.95396,0.6,0.0,42220.0
1.76,465.507,-1.40058,3004.81,55.99998326181509,41.36419145814644,266.47,10.9562,5.70181,-14.8206,-1.53468,3.34983,-0.107538,-10.3767,6.94,-1.09291,0.365948,0.0205019,2.93537,-1.95396,0.6,0.0,42220.0
1.78,470.831,-1.47321,3005.04,55.99998239382157,41.36423939582122,266.499,11.3227,5.8304,-15.0338,-1.5916,3.40311,-0.107698,-10.3421,6.9823,-1.12577,0.367698,0.0204199,2.96963,-1.95396,0.6,0.0,42220.0
1.8,476.155,-1.54873,3005.27,55.99998149128996,41.364287333495994,266.528,11.6951,5.95943,-15.2465,-1.64986,3.45576,-0.107507,-10.3112,7.02193,-1.15799,0.369429,0.0202768,3.00345,-1.95396,0.6,0.0,42220.0
1.82,481.48,-1.62722,3005.51,55.99998055326419,41.36433528017484,266.556,12.0735,6.08884,-15.459,-1.70946,3.50776,-0.106982,-10.2841,7.05898,-1.18946,0.371139,0.0200751,3.03681,-1.95396,0.6,0.0,42220.0
1.84,486.804,-1.70875,3005.76,55.99997957890769,41.364383217849614,266.583,12.4576,6.21857,-15.6711,-1.77036,3.55908,-0.106142,-10.2611,7.09356,-1.22009,0.372829,0.0198174,3.06969,-1.95396,0.6,0.0,42220.0
1.86,492.129,-1.7934,3006.02,55.99997856726441,41.36443116452846,266.609,12.8474,6.34858,-15.8831,-1.83254,3.60968,-0.105005,-10.2422,7.12574,-1.2498,0.374495,0.0195072,3.10208,-1.95396,0.6,0.0,42220.0
1.88,497.454,-1.88125,3006.28,55.999977517378255,41.36447911120731,266.634,13.2427,6.47881,-16.0949,-1.89597,3.65955,-0.103595,-10.2275,7.15562,-1.27848,0.376139,0.0191479,3.13395,-1.95396,0.6,0.0,42220.0
1.9,502.779,-1.97238,3006.55,55.999976428293174,41.36452705788616,266.658,13.6434,6.60923,-16.3068,-1.96062,3.70866,-0.101936,-10.217,7.1833,-1.30607,0.377759,0.0187436,3.16531,-1.95396,0.6,0.0,42220.0
1.92,508.104,-2.06686,3006.84,55.99997529917258,41.364575004565005,266.682,14.0495,6.73978,-16.5187,-2.02646,3.75698,-0.100052,-10.2108,7.20885,-1.3325,0.379353,0.0182986,3.19612,-1.95396,0.6,0.0,42220.0
1.94,513.429,-2.16477,3007.12,55.999974129060426,41.36462295124385,266.704,14.4607,6.87043,-16.7308,-2.09347,3.8045,-0.0979708,-10.2087,7.23236,-1.35771,0.380923,0.0178173,3.22639,-1.95396,0.6,0.0,42220.0
1.96,518.753,-2.2662,3007.42,55.99997291688112,41.364670888918624,266.726,14.8769,7.00114,-16.9431,-2.1616,3.8512,-0.0957207,-10.2108,7.25391,-1.38164,0.382466,0.0173046,3.2561,-1.95396,0.6,0.0,42220.0
1.98,524.078,-2.37123,3007.73,55.99997166167859,41.36471883559747,266.746,15.298,7.13187,-17.1557,-2.23083,3.89706,-0.0933305,-10.2169,7.27357,-1.40425,0.383982,0.0167654,3.28524,-1.95396,0.6,0.0,42220.0
2.0,529.403,-2.47992,3008.04,55.99997036273578,41.36476678227632,266.766,15.7239,7.26259,-17.3688,-2.30111,3.94208,-0.09083,-10.2268,7.29144,-1.42552,0.385471,0.016205,3.31381,-1.95396,0.6,0.0,42220.0
2.02,534.727,-2.59237,3008.37,55.999969018857605,41.36481471995109,266.785,16.1544,7.39326,-17.5823,-2.37242,3.98607,-0.0882492,-10.2406,7.28491,-1.44542,0.387436,0.0156286,3.34552,-1.90396,0.6,0.0,42220.0
2.04,540.051,-2.70865,3008.7,55.999967629207504,41.36486265762587,266.803,16.5901,7.52342,-17.7964,-2.44459,4.02878,-0.0856176,-10.2579,7.27748,-1.46401,0.388846,0.0150418,3.37211,-1.90396,0.6,0.0,42220.0
2.06,545.375,-2.82885,3009.04,55.99996619270989,41.36491059530064,266.82,17.03,7.65305,-18.0112,-2.51758,4.07022,-0.0829626,-10.2784,7.26921,-1.48127,0.390214,0.0144502,3.39787,-1.90396,0.6,0.0,42220.0
2.08,550.698,-2.95303,3009.39,55.99996470864772,41.364958523971346,266.836,17.4739,7.78215,-18.2265,-2.59136,4.11039,-0.0803114,-10.3021,7.26015,-1.49722,0.391541,0.0138586,3.42283,-1.90396,0.6,0.0,42220.0
2.1,556.022,-3.0813,3009.75,55.99996317570638,41.365006461646125,266.851,17.9217,7.91071,-18.4427,-2.6659,4.14933,-0.0776908,-10.3285,7.25036,-1.51186,0.392828,0.0132719,3.44698,-1.90396,0.6,0.0,42220.0
2.12,561.344,-3.21371,3010.11,55.99996159328833,41.36505438131276,266.865,18.3731,8.0387,-18.6596,-2.74117,4.18689,-0.0751267,-10.3575,7.21724,-1.52523,0.394574,0.0126946,3.47405,-1.85396,0.6,0.0,42220.0
2.14,566.666,-3.35035,3010.49,55.99995996031801,41.36510230097939,266.879,18.8287,8.1657,-18.8774,-2.817,4.22282,-0.0726433,-10.3886,7.18425,-1.53743,0.395758,0.0121317,3.49582,-1.85396,0.6,0.0,42220.0
2.16,571.988,-3.4913,3010.88,55.99995827583932,41.36515022064602,266.892,19.2875,8.29171,-19.096,-2.89335,4.25717,-0.0702618,-10.4217,7.15142,-1.54848,0.396889,0.0115879,3.5166,-1.85396,0.6,0.0,42220.0
2.18,577.309,-3.63664,3011.27,55.9999565388962,41.36519813130858,266.903,19.7492,8.41674,-19.3155,-2.97021,4.28999,-0.0680022,-10.4563,7.11877,-1.55844,0.39797,0.0110667,3.53641,-1.85396,0.6,0.0,42220.0
2.2,582.63,-3.78644,3011.68,55.99995474865209,41.36524604197115,266.914,20.2136,8.5408,-19.5359,-3.04755,4.32131,-0.0658827,-10.492,7.08635,-1.56736,0.399002,0.0105716,3.55527,-1.85396,0.6,0.0,42220.0
